id_reserva,id_hospede,id_quarto,id_hotel,data_checkin,data_checkout,canal_reserva,valor_diaria,status_reserva,data_reserva
87,196,Q042,4,2023-03-20,2023-03-28,Expedia,2205.77,Confirmada,2023-02-08
88,308,Q014,2,2023-05-31,2023-06-06,Expedia,1911.41,Confirmada,2023-04-16
89,291,Q033,3,2023-05-17,2023-05-18,Agência de Viagem,404.69,Confirmada,2023-04-29
90,112,Q012,1,2024-11-22,2024-11-30,Expedia,-274.84,Confirmada,2024-11-03
91,239,Q042,4,2023-05-02,2023-05-11,Booking.com,1044.77,Cancelado,2023-04-26
92,149,Q035,4,2024-04-14,2024-04-16,Telefone,2718.68,Confirmada,2024-03-16
93,108,Q030,3,2023-08-04,2023-08-06,Telefone,480.27,Confirmada,2023-06-17
94,185,Q049,5,2023-05-16,2023-05-26,Telefone,962.9,Confirmada,2023-05-08
95,255,Q027,3,2024-05-12,2024-05-19,Site Próprio,655.62,Confirmada,2024-04-10
96,155,Q041,4,2023-05-25,2023-06-01,,1209.07,Confirmada,2023-05-17
97,167,Q024,3,2023-12-13,2023-12-27,Agência de Viagem,556.11,Confirmada,2023-10-14
98,379,Q013,2,2023-10-24,2023-10-29,Expedia,415.69,Confirmada,2023-09-29
99,185,Q046,5,2024-03-14,2024-03-27,Expedia,2428.35,Confirmada,2024-02-25
100,339,Q001,1,2023-10-20,2023-10-31,Booking.com,885.78,Confirmada,2023-10-02
101,162,Q043,4,2023-07-14,2023-07-27,Expedia,2252.11,Confirmada,2023-06-16
102,205,Q011,1,2024-07-21,2024-07-30,Booking.com,2084.91,Confirmada,2024-07-17
103,315,Q042,4,2023-05-22,2023-06-02,Expedia,1488.22,Confirmada,2023-03-24
104,88,Q047,5,2024-04-28,2024-05-05,Expedia,968.45,Confirmada,2024-04-11
105,336,Q030,3,2023-09-02,2023-09-07,Agência de Viagem,1671.17,Confirmada,2023-08-07
106,330,Q003,1,2023-06-15,2023-06-17,Booking.com,1526.54,Confirmada,2023-04-24
107,113,Q043,4,2024-04-08,2024-04-14,Agência de Viagem,1339.93,Confirmada,2024-03-03
108,47,Q016,2,2023-06-28,2023-07-04,Telefone,482.29,Confirmada,2023-06-12
109,292,Q028,3,2023-07-26,2023-07-27,Agência de Viagem,1226.24,Confirmada,2023-06-08
110,193,Q048,5,2023-10-04,2023-10-10,Site Próprio,1520.27,Confirmada,2023-08-28
111,352,Q026,3,2024-05-30,2024-06-08,Booking.com,486.13,Confirmada,2024-04-02
112,205,Q019,2,2024-10-23,2024-10-31,Agência de Viagem,2682.56,Confirmada,2024-08-29
113,17,Q003,1,2024-03-11,2024-03-09,Agência de Viagem,2719.12,Confirmada,2024-02-08
114,201,Q002,1,2024-06-24,2024-07-08,Agência de Viagem,2729.21,Confirmada,2024-06-08
115,80,Q004,1,2023-06-05,2023-06-14,Site Próprio,2650.8,Confirmada,2023-04-19
116,283,Q036,4,2023-02-10,2023-02-11,Booking.com,843.07,Confirmada,2022-12-13
117,367,Q011,1,2023-11-08,2023-11-11,Expedia,1597.05,Confirmada,2023-10-11
118,37,Q002,1,2023-11-04,2023-11-13,Telefone,738.84,Confirmada,2023-10-18
119,1,Q022,2,2023-01-11,2023-01-20,Expedia,2790.75,Confirmada,2022-12-24
120,125,Q034,3,2024-05-01,2024-05-10,Booking.com,1644.86,Confirmada,2024-04-29
121,29,Q039,4,2023-01-23,2023-01-27,Agência de Viagem,2506.36,Confirmada,2023-01-27
122,132,Q036,4,2023-08-22,2023-09-02,Agência de Viagem,2609.16,Confirmada,2023-08-07
123,357,Q035,4,2023-12-13,2023-12-25,Agência de Viagem,1173.92,Confirmada,2023-11-17
124,150,Q013,2,2024-05-31,2024-06-02,Booking.com,1514.02,Confirmada,2024-05-18
125,119,Q027,3,2024-04-21,2024-04-25,Expedia,2189.2,Confirmada,2024-04-02
126,254,Q010,1,2024-09-16,2024-09-19,Booking.com,1486.88,Confirmada,2024-07-19
127,75,Q010,1,2024-02-07,2024-02-08,Booking.com,310.25,Confirmada,2023-12-30
128,27,Q019,2,2023-03-03,2023-03-06,Agência de Viagem,1396.59,Confirmada,2023-01-16
129,41,Q025,3,2023-06-19,2023-06-25,Booking.com,723.06,Confirmada,2023-04-20
130,240,Q056,5,2023-02-02,2023-02-07,Agência de Viagem,2389.77,Confirmada,2023-01-11
131,56,Q037,4,2023-01-03,2023-01-05,Expedia,455.95,confirmada,2022-12-07
132,389,Q009,1,2023-08-01,2023-08-08,Expedia,2210.27,Confirmada,2023-07-12
133,26,Q036,4,2024-12-23,2024-12-31,Booking.com,1200.42,Confirmada,2024-10-25
134,166,Q038,4,2024-01-08,2024-01-20,Agencia de Viagem,327.22,Confirmada,2023-12-12
135,393,Q023,2,2024-02-19,2024-02-20,Agência de Viagem,338.88,Confirmada,2024-02-14
136,100,Q005,1,2023-03-06,2023-03-16,Expedia,1175.58,Confirmada,2023-02-12
137,135,Q045,5,2024-12-07,2024-12-13,Expedia,1008.38,Confirmada,2024-10-21
138,325,Q057,5,2023-03-08,2023-03-09,Booking.com,523.52,Confirmada,2023-01-21
139,129,Q041,4,2024-03-16,2024-03-30,Agência de Viagem,588.4,Confirmada,2024-02-13
140,379,Q013,2,2023-11-07,2023-11-21,Booking.com,1798.5,Confirmada,2023-10-17
141,186,Q031,3,2024-09-02,2024-09-04,Telefone,753.15,Confirmada,2024-07-15
142,209,Q016,2,2023-03-08,2023-03-19,Site Próprio,1478.31,Confirmada,2023-02-01
143,219,Q026,3,2023-04-18,2023-04-20,Expedia,1842.73,Confirmada,2023-04-04
144,256,Q007,1,2024-04-02,2024-04-05,Booking.com,588.97,Confirmada,2024-03-03
145,121,Q055,5,2024-07-05,2024-07-19,Site Próprio,2238.36,Confirmada,2024-06-16
146,291,Q028,3,2023-10-02,2023-10-08,Expedia,2132.07,Confirmada,2023-09-19
147,96,Q038,4,2023-09-09,2023-09-13,Booking.com,967.45,Confirmada,2023-07-12
148,168,Q048,5,2023-03-08,2023-03-15,Expedia,2780.74,Confirmada,2023-02-03
149,333,Q048,5,2023-04-13,2023-04-24,Agência de Viagem,2776.94,Confirmada,2023-04-06
150,119,Q008,1,2024-04-04,2024-04-10,Site Próprio,2486.05,Confirmada,2024-03-20
151,98,Q001,1,2024-09-06,2024-09-20,Telefone,0.0,Confirmada,2024-09-01
152,92,Q032,3,2024-04-04,2024-04-14,Expedia,2226.25,Confirmada,2024-02-21
153,327,Q002,1,2024-09-02,2024-09-14,Telefone,1141.73,Confirmada,2024-08-30
154,73,Q029,3,2023-02-15,2023-02-19,Expedia,347.5,Confirmada,2022-12-30
155,168,Q013,2,2024-02-23,2024-03-05,Expedia,722.12,Confirmada,2024-02-03
156,17,Q004,1,2024-05-22,2024-05-31,Agência de Viagem,411.34,Confirmada,2024-05-15
157,80,Q043,4,2024-10-16,2024-10-25,Site Próprio,1915.3,Confirmada,2024-09-20
158,146,Q030,3,2024-11-14,2024-11-19,Agência de Viagem,2680.63,Confirmada,2024-10-25
159,213,Q050,5,2024-03-02,2024-03-03,Expedia,1893.42,Confirmada,2024-02-05
160,4,Q038,4,2024-03-20,2024-03-23,Agência de Viagem,539.53,Confirmada,2024-03-14
161,187,Q044,4,2024-04-16,2024-04-29,Booking.com,,Confirmada,2024-04-12
162,329,Q047,5,2024-02-11,2024-02-13,Telefone,1836.6,Confirmada,2024-01-18
163,75,Q047,5,2023-12-23,2023-12-28,Booking.com,1578.96,Confirmada,2023-10-24
164,197,Q002,1,2024-05-17,2024-05-30,Booking.com,1019.12,Confirmada,2024-03-24
165,162,Q008,1,2023-02-24,2023-03-06,Agência de Viagem,470.05,Confirmada,2023-01-09
166,83,Q056,5,2024-10-17,2024-10-30,Booking.com,1833.69,Confirmada,2024-09-07
167,94,Q020,2,2024-08-01,2024-08-05,Site Próprio,1269.35,Confirmada,2024-06-28
168,184,Q019,2,2023-05-07,2023-05-10,Booking.com,2725.27,Confirmada,2023-03-15
169,288,Q013,2,2024-11-19,2024-11-20,Expedia,550.21,Confirmada,2024-10-11
170,322,Q043,4,2023-11-10,2023-11-21,Agência de Viagem,1035.94,Confirmada,2023-10-25
171,338,Q041,4,2024-01-12,2024-01-20,Telefone,1367.8,Confirmada,2024-01-10
172,251,Q010,1,2024-04-21,2024-04-25,Agência de Viagem,2197.09,Confirmada,2024-03-02
173,243,Q037,4,2024-02-14,2024-02-16,Site Próprio,577.56,Confirmada,2024-01-17
174,227,Q025,3,2024-05-31,2024-06-09,Site Próprio,353.66,Confirmada,2024-05-22
175,161,Q012,1,2024-06-07,2024-06-09,Site Próprio,2167.75,Confirmada,2024-04-10
176,14,Q037,4,2023-03-09,2023-03-19,Site Próprio,743.95,Confirmada,2023-01-11
177,85,Q039,4,2024-12-03,2024-12-16,Booking.com,417.07,Confirmada,2024-11-10
178,130,Q057,5,2023-06-12,2023-06-18,Telefone,19486.09,Confirmada,2023-04-20
179,131,Q037,4,2024-05-29,2024-06-06,Booking.com,1759.31,Confirmada,2024-04-19
180,164,Q048,5,2024-01-17,2024-01-18,Booking.com,714.35,Confirmada,2024-01-06
181,168,Q034,3,2024-01-21,2024-01-24,Expedia,543.45,Confirmada,2023-12-18
182,185,Q011,1,2024-04-08,2024-04-17,Telefone,1729.11,Confirmada,2024-02-11
183,275,Q005,1,2024-10-06,2024-10-20,Agência de Viagem,2131.7,Confirmada,2024-09-12
184,189,Q030,3,2024-08-14,2024-08-17,Expedia,1093.61,Confirmada,2024-08-08
185,91,Q038,4,2024-09-22,2024-10-04,Site Próprio,1005.78,Confirmada,2024-08-19
186,328,Q028,3,2024-08-22,2024-09-02,Expedia,2119.25,Confirmada,2024-07-05
187,77,Q004,1,2023-10-25,2023-11-04,Agência de Viagem,1315.1,Confirmada,2023-10-01
188,251,Q003,1,2023-08-21,2023-08-31,Site Próprio,306.84,Confirmada,2023-08-20
189,853,Q050,5,2023-04-19,2023-04-28,Expedia,1611.99,Confirmada,2023-03-23
190,302,Q049,5,2023-05-17,2023-05-21,Expedia,1841.02,Confirmada,2023-04-16
191,8,Q015,2,2023-09-07,2023-09-19,Booking.com,1399.68,Confirmada,2023-09-02
192,139,Q023,2,2024-02-16,2024-02-29,Expedia,2716.2,Confirmada,2024-02-12
193,305,Q050,5,2024-10-23,2024-11-02,Agência de Viagem,1784.8,Confirmada,2024-09-19
194,85,Q038,4,2023-01-01,2023-01-02,Site Próprio,1605.39,Confirmada,2022-12-06
195,82,Q016,2,2023-03-01,2023-03-14,Site Próprio,281.49,Confirmada,2023-01-24
196,212,Q015,2,2023-07-24,2023-08-02,Telefone,1888.87,Cancelado,2023-06-12
197,90,Q044,4,2024-06-04,2024-06-09,Site Próprio,1015.68,Confirmada,2024-05-31
198,4,Q043,4,2024-01-20,2024-02-03,Agência de Viagem,2150.23,Confirmada,2023-12-21
199,336,Q012,1,2024-04-08,2024-04-11,Booking.com,2791.36,Confirmada,2024-03-22
200,20,Q023,2,2023-05-07,2023-05-13,site próprio,2064.79,Confirmada,2023-04-19
201,224,Q055,5,2024-12-03,2024-12-16,Telefone,2728.32,Overbooking,2024-11-14
202,260,Q014,2,2023-01-16,2023-01-19,Expedia,2556.99,Overbooking,2022-11-23
203,383,Q015,2,2023-12-01,2023-12-05,Agência de Viagem,1087.81,Overbooking,2023-11-15
204,241,Q043,4,2024-04-28,2024-05-12,Telefone,2028.93,Confirmada,2024-03-04
205,372,Q007,1,2023-08-28,2023-09-07,Expedia,2262.47,Confirmada,2023-08-02
206,40,Q054,5,2024-08-01,2024-08-04,Booking.com,333.93,Confirmada,2024-07-24
207,83,Q010,1,2023-12-20,2023-12-23,Site Próprio,328.72,Confirmada,2023-12-11
208,35,Q012,1,2023-02-17,2023-02-19,Telefone,2192.51,Confirmada,2023-02-04
209,34,Q055,5,2024-01-29,2024-01-31,Booking.com,774.59,Confirmada,2024-01-21
210,386,Q001,1,2024-10-11,2024-10-13,Expedia,1466.64,Confirmada,2024-10-02
211,105,Q011,1,2023-10-29,2023-11-04,,1330.6,Confirmada,2023-10-27
212,145,Q028,3,2023-02-19,2023-03-03,Expedia,2571.35,Confirmada,2022-12-31
213,244,Q053,5,2023-10-22,2023-11-01,Site Próprio,2262.09,Confirmada,2023-10-20
214,396,Q043,4,2023-04-11,2023-04-17,Agência de Viagem,2046.88,Confirmada,2023-03-07
215,366,Q048,5,2023-04-04,2023-04-14,Expedia,684.45,Confirmada,2023-04-03
216,148,Q048,5,2023-02-25,2023-02-26,Expedia,1501.6,Confirmada,2023-01-24
217,304,Q020,2,2023-12-22,2024-01-05,Telefone,914.47,Confirmada,2023-12-11
218,359,Q027,3,2023-08-26,2023-09-03,Booking.com,530.3,Confirmada,2023-07-16
219,357,Q008,1,2024-07-28,2024-08-10,Site Próprio,1851.23,Confirmada,2024-07-05
220,203,Q007,1,2023-03-30,2023-04-06,Site Próprio,1198.47,Confirmada,2023-03-10
221,280,Q030,3,2024-05-28,2024-05-31,Agência de Viagem,2755.15,Confirmada,2024-04-17
222,65,Q020,2,2024-06-28,2024-07-08,Telefone,1898.06,Confirmada,2024-06-05
223,268,Q050,5,2023-06-09,2023-06-23,Agência de Viagem,1938.36,Confirmada,2023-04-22
224,238,Q026,3,2024-03-25,2024-04-06,Expedia,1726.88,Confirmada,2024-03-16
225,330,Q031,3,2024-12-14,2024-12-18,Telefone,738.51,Confirmada,2024-11-24
226,371,Q047,5,2023-06-09,2023-06-13,Expedia,1787.38,Confirmada,2023-05-17
227,168,Q016,2,2023-07-13,2023-07-18,Site Próprio,669.73,Confirmada,2023-05-31
228,197,Q004,1,2023-06-04,2023-06-07,Expedia,2119.9,Confirmada,2023-05-07
229,56,Q027,3,2024-10-15,2024-10-17,Expedia,776.43,Confirmada,2024-09-20
230,7,Q035,4,2024-02-13,2024-02-27,Agência de Viagem,2018.27,Confirmada,2024-01-11
231,12,Q031,3,2023-05-26,2023-05-31,Telefone,2132.51,Confirmada,2023-05-25
232,359,Q019,2,2024-08-10,2024-08-20,Agência de Viagem,2407.28,Confirmada,2024-06-28
233,348,Q048,5,2023-07-05,2023-07-16,Site Próprio,1407.45,Confirmada,2023-06-14
234,359,Q034,3,2023-04-11,2023-04-18,Booking.com,2245.06,Confirmada,2023-02-24
235,217,Q017,2,2024-05-09,2024-05-17,Site Próprio,-212.66,Confirmada,2024-04-12
236,339,Q055,5,2023-07-07,2023-07-18,Expedia,2234.36,Confirmada,2023-06-12
237,20,Q036,4,2023-09-15,2023-09-24,Booking.com,660.15,Confirmada,2023-07-26
238,179,Q021,2,2023-04-14,2023-04-28,Telefone,1414.8,Confirmada,2023-03-31
239,9,Q043,4,2024-10-16,2024-10-29,Expedia,1580.31,Confirmada,2024-09-19
240,351,Q038,4,2023-07-08,2023-07-15,Telefone,2194.89,Confirmada,2023-06-30
241,327,Q050,5,2023-02-27,2023-03-04,Expedia,1223.68,Confirmada,2023-02-23
242,215,Q002,1,2024-03-06,2024-03-17,Expedia,1729.45,Confirmada,2024-02-28
243,380,Q017,2,2024-02-15,2024-02-24,Booking.com,2785.29,Confirmada,2024-01-20
244,85,Q038,4,2023-05-13,2023-05-26,Site Próprio,2314.41,Confirmada,2023-04-02
245,329,Q020,2,2024-07-29,2024-08-10,Booking.com,2327.33,Confirmada,2024-07-19
246,328,Q034,3,2024-02-28,2024-03-07,Expedia,2187.71,Confirmada,2024-01-17
247,182,Q020,2,2023-08-24,2023-08-29,Agência de Viagem,2003.0,Confirmada,2023-07-27
248,2,Q020,2,2023-10-15,2023-10-21,Booking.com,1918.73,Confirmada,2023-09-24
249,220,Q042,4,2024-09-30,2024-10-11,Site Próprio,1931.12,Confirmada,2024-09-06
250,198,Q017,2,2023-02-28,2023-03-02,Telefone,2559.81,Confirmada,2023-01-08
251,177,Q021,2,2024-10-10,2024-10-20,Site Próprio,1926.12,Confirmada,2024-09-26
252,151,Q011,1,2023-09-14,2023-09-24,Site Próprio,1725.14,Confirmada,2023-07-21
253,398,Q015,2,2024-04-07,2024-04-13,Booking.com,781.78,Confirmada,2024-03-12
254,313,Q047,5,2024-12-05,2024-12-15,Site Próprio,1954.57,Confirmada,2024-10-08
255,326,Q057,5,2023-11-01,2023-11-05,Agência de Viagem,2016.62,Confirmada,2023-09-28
256,225,Q012,1,2024-11-18,2024-11-20,EXPEDIA,551.98,Confirmada,2024-10-22
257,243,Q015,2,2024-05-19,2024-05-28,Site Próprio,1485.15,Confirmada,2024-03-22
258,127,Q020,2,2024-05-25,2024-05-28,Telefone,1778.98,Confirmada,2024-04-07
259,165,Q003,1,2024-04-24,2024-05-06,Telefone,1518.9,Confirmada,2024-04-05
260,219,Q040,4,2024-03-04,2024-03-15,Site Próprio,710.32,Confirmada,2024-02-09
261,313,Q001,1,2023-02-16,2023-02-27,Expedia,2311.93,No-show,2023-02-09
262,249,Q052,5,2023-05-28,2023-05-29,Booking.com,2081.37,Confirmada,2023-04-17
263,49,Q018,2,2024-11-05,2024-11-11,Expedia,1460.06,Confirmada,2024-10-02
264,108,Q057,5,2023-10-18,2023-10-25,Expedia,1327.09,Confirmada,2023-09-12
265,150,Q005,1,2023-12-30,2024-01-13,Agência de Viagem,1279.51,Confirmada,2023-11-27
266,177,Q032,3,2023-07-28,2023-08-08,Agência de Viagem,2269.48,Confirmada,2023-07-06
267,366,Q018,2,2023-11-03,2023-11-06,Telefone,2730.51,Confirmada,2023-10-28
268,371,Q007,1,2024-07-21,2024-07-28,Telefone,1713.81,Confirmada,2024-06-25
269,4,Q025,3,2023-02-17,2023-02-21,Agência de Viagem,1802.15,Confirmada,2023-01-05
270,279,Q009,1,2024-09-18,2024-09-25,Telefone,624.98,Confirmada,2024-08-05
271,43,Q055,5,2023-08-06,2023-08-07,Agência de Viagem,1844.46,Confirmada,2023-07-25
272,93,Q011,1,2023-02-07,2023-02-14,Site Próprio,2580.91,Confirmada,2022-12-27
273,72,Q006,1,2023-11-13,2023-11-22,Expedia,2449.25,Confirmada,2023-11-01
274,164,Q035,4,2023-01-21,2023-01-28,Telefone,1886.5,Confirmada,2022-11-22
275,291,Q008,1,2024-06-18,2024-06-19,Site Próprio,2223.13,Confirmada,2024-05-22
276,208,Q056,5,2024-04-02,2024-04-04,Site Próprio,1983.91,Confirmada,2024-02-23
277,80,Q055,5,2024-05-01,2024-05-14,Agência de Viagem,1649.45,Confirmada,2024-04-25
278,78,Q038,4,2024-10-03,2024-10-04,Agência de Viagem,262.2,Confirmada,2024-08-20
279,112,Q002,1,2023-05-05,2023-05-03,Agência de Viagem,295.33,Confirmada,2023-03-19
280,231,Q048,5,2023-07-11,2023-07-12,Expedia,2223.76,Confirmada,2023-05-26
281,151,Q014,2,2024-10-05,2024-10-14,Agência de Viagem,1424.48,Confirmada,2024-08-06
282,368,Q024,3,2023-02-02,2023-02-03,Site Próprio,287.56,Confirmada,2022-12-22
283,200,Q046,5,2023-11-15,2023-11-20,Telefone,673.29,Confirmada,2023-09-20
284,31,Q044,4,2023-11-20,2023-11-26,Telefone,2105.8,Confirmada,2023-10-20
285,60,Q015,2,2024-01-07,2024-01-18,Booking.com,1855.75,Confirmada,2023-12-11
286,399,Q041,4,2024-04-08,2024-04-13,Telefone,1101.41,Confirmada,2024-03-21
287,334,Q010,1,2024-12-21,2025-01-03,Telefone,1096.7,Confirmada,2024-11-12
288,308,Q003,1,2023-11-13,2023-11-23,Agência de Viagem,2739.79,Confirmada,2023-10-28
